Altium Designer Pick and Place Locations
D:\MFD_3\MFD\Project Outputs for Mfd3\Pick Place for Mfd3.csv

========================================================================================================================
File Design Information:

Date:       04.05.21
Time:       00:58
Revision:   79554a0f5f565cc10c8f1beb89a881c875672086
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description","LCSC Part #"
"LED34","LED 0603","Top","LED_0603","65.0000mm","260.0000mm","180","LED 0603","C72043"
"LED33","LED 0603","Top","LED_0603","35.0000mm","260.0000mm","180","LED 0603","C72043"
"LED32","LED 0603","Top","LED_0603","7.0000mm","260.0000mm","360","LED 0603","C72043"
"LED31","LED 0603","Top","LED_0603","7.0000mm","240.0000mm","180","LED 0603","C72043"
"LED30","LED 0603","Top","LED_0603","183.0000mm","260.0000mm","180","LED 0603","C72043"
"LED29","LED 0603","Top","LED_0603","155.0000mm","260.0000mm","360","LED 0603","C72043"
"LED28","LED 0603","Top","LED_0603","125.0000mm","260.0000mm","0","LED 0603","C72043"
"LED27","LED 0603","Top","LED_0603","95.0000mm","260.0000mm","0","LED 0603","C72043"
"LED26","LED 0603","Top","LED_0603","183.0000mm","240.0000mm","180","LED 0603","C72043"
"LED25","LED 0603","Top","LED_0603","187.0000mm","154.0000mm","90","LED 0603","C72043"
"LED24","LED 0603","Top","LED_0603","187.0000mm","178.0000mm","270","LED 0603","C72043"
"LED23","LED 0603","Top","LED_0603","187.0000mm","202.0000mm","270","LED 0603","C72043"
"LED22","LED 0603","Top","LED_0603","187.0000mm","226.0000mm","90","LED 0603","C72043"
"LED21","LED 0603","Top","LED_0603","187.0000mm","58.0000mm","270","LED 0603","C72043"
"LED20","LED 0603","Top","LED_0603","187.0000mm","82.0000mm","270","LED 0603","C72043"
"LED19","LED 0603","Top","LED_0603","187.0000mm","106.0000mm","270","LED 0603","C72043"
"LED18","LED 0603","Top","LED_0603","187.0000mm","130.0000mm","270","LED 0603","C72043"
"LED17","LED 0603","Top","LED_0603","3.0000mm","154.0000mm","90","LED 0603","C72043"
"LED16","LED 0603","Top","LED_0603","3.0000mm","178.0000mm","90","LED 0603","C72043"
"LED15","LED 0603","Top","LED_0603","3.0000mm","202.0000mm","270","LED 0603","C72043"
"LED14","LED 0603","Top","LED_0603","3.0000mm","226.0000mm","270","LED 0603","C72043"
"LED13","LED 0603","Top","LED_0603","3.0000mm","58.0000mm","270","LED 0603","C72043"
"LED12","LED 0603","Top","LED_0603","3.0000mm","82.0000mm","90","LED 0603","C72043"
"LED11","LED 0603","Top","LED_0603","3.0000mm","106.0000mm","90","LED 0603","C72043"
"LED10","LED 0603","Top","LED_0603","3.0000mm","130.0000mm","270","LED 0603","C72043"
"LED9","LED 0603","Top","LED_0603","125.0000mm","24.0000mm","180","LED 0603","C72043"
"LED8","LED 0603","Top","LED_0603","155.0000mm","24.0000mm","180","LED 0603","C72043"
"LED7","LED 0603","Top","LED_0603","183.0000mm","4.0000mm","180","LED 0603","C72043"
"LED6","LED 0603","Top","LED_0603","183.0000mm","24.0000mm","180","LED 0603","C72043"
